epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,676.358,1.09128,0.94253,1.10405,0.95619,0.98407,0.98033,0.64989,1.22511,1.04483,1.17679,0.0007294,0.0007294,0.0007294
43,692.512,1.11665,0.94735,1.1213,0.9625,0.98369,0.98217,0.63979,1.26191,1.04648,1.21931,0.0007228,0.0007228,0.0007228
44,709.813,1.12611,0.89616,1.11082,0.96555,0.98528,0.984,0.64471,1.26155,1.04302,1.23905,0.0007162,0.0007162,0.0007162
45,829.472,1.15729,0.92,1.14001,0.96383,0.98919,0.98583,0.66635,1.21851,1.00917,1.20818,0.0007096,0.0007096,0.0007096
46,844.526,1.14524,0.91516,1.15151,0.94566,0.99392,0.984,0.68822,1.17293,1.03287,1.17713,0.000703,0.000703,0.000703
47,859.616,1.10435,0.85384,1.11869,0.94722,0.99369,0.98583,0.68162,1.17399,1.00468,1.17683,0.0006964,0.0006964,0.0006964
48,874.772,1.09863,0.84556,1.10997,0.9471,0.99426,0.99133,0.69708,1.16872,0.93962,1.18815,0.0006898,0.0006898,0.0006898
49,889.847,1.13011,0.83705,1.12249,0.95098,0.99782,0.995,0.69087,1.18187,0.8956,1.19666,0.0006832,0.0006832,0.0006832
50,904.9,1.08648,0.87267,1.11671,0.96045,0.99981,0.995,0.68925,1.20643,0.90202,1.20502,0.0006766,0.0006766,0.0006766
51,919.944,1.11179,0.88997,1.12287,0.96793,1,0.995,0.67291,1.21823,0.98251,1.18174,0.00067,0.00067,0.00067
52,934.972,1.09655,0.86119,1.08052,0.9734,1,0.995,0.67191,1.2126,0.99202,1.16783,0.0006634,0.0006634,0.0006634
53,950.049,1.11577,0.83786,1.11966,0.97986,0.9759,0.995,0.67314,1.19442,0.95043,1.16956,0.0006568,0.0006568,0.0006568
54,965.16,1.1449,0.87548,1.1259,0.96773,0.98036,0.995,0.69123,1.1847,0.95397,1.15956,0.0006502,0.0006502,0.0006502
55,980.295,1.0898,0.7966,1.08619,0.97832,0.98543,0.995,0.68397,1.1756,0.91457,1.15006,0.0006436,0.0006436,0.0006436
56,995.326,1.06877,0.80944,1.0631,0.96069,0.98148,0.99317,0.69905,1.18659,0.92096,1.15617,0.000637,0.000637,0.000637
57,1010.45,1.10576,0.8091,1.11013,0.95873,0.99347,0.995,0.6938,1.20676,0.92707,1.17985,0.0006304,0.0006304,0.0006304
58,1025.52,1.12754,0.80719,1.12361,0.96077,0.9962,0.995,0.67157,1.21241,0.94232,1.18977,0.0006238,0.0006238,0.0006238
59,1040.81,1.04747,0.78346,1.06852,0.97176,0.99561,0.995,0.66722,1.21619,0.94171,1.2027,0.0006172,0.0006172,0.0006172
60,1056.86,1.06692,0.78972,1.10775,0.97724,0.9943,0.995,0.67566,1.21114,0.94021,1.19855,0.0006106,0.0006106,0.0006106
61,1072.8,1.09171,0.77982,1.08834,0.98189,0.99434,0.995,0.68638,1.19651,0.90305,1.19624,0.000604,0.000604,0.000604
62,1088.88,1.07003,0.76899,1.08471,0.9594,0.99522,0.99317,0.68584,1.19598,0.87541,1.21087,0.0005974,0.0005974,0.0005974
63,1105.3,1.06318,0.84095,1.08892,0.96225,0.99429,0.995,0.67618,1.20895,0.8457,1.21414,0.0005908,0.0005908,0.0005908
64,1121.62,1.04758,0.77174,1.10775,0.97089,0.99198,0.995,0.68429,1.20323,0.83354,1.19642,0.0005842,0.0005842,0.0005842
65,1137.91,1.05978,0.73098,1.07573,0.97535,0.9926,0.995,0.68383,1.19118,0.85299,1.18277,0.0005776,0.0005776,0.0005776
66,1154.11,1.06486,0.79374,1.06535,0.97094,1,0.995,0.69065,1.17874,0.85874,1.16301,0.000571,0.000571,0.000571
67,1170.32,1.05382,0.80241,1.08886,0.97299,0.99291,0.995,0.69819,1.16765,0.84976,1.15992,0.0005644,0.0005644,0.0005644
68,1186.63,1.06563,0.76701,1.09888,0.89727,0.99319,0.98386,0.68811,1.17011,0.8618,1.16793,0.0005578,0.0005578,0.0005578
69,1202.87,1.0736,0.72886,1.10285,0.87921,0.99809,0.98217,0.68127,1.16713,0.85911,1.17741,0.0005512,0.0005512,0.0005512
70,1219.02,1.0391,0.77143,1.08523,0.89843,0.98157,0.98583,0.67174,1.17065,0.8531,1.17921,0.0005446,0.0005446,0.0005446
71,1235.31,1.08453,0.74231,1.10102,0.9219,0.98849,0.995,0.6816,1.17755,0.84193,1.18387,0.000538,0.000538,0.000538
72,1251.54,1.05777,0.79172,1.10832,0.95543,0.98836,0.995,0.68046,1.17952,0.83264,1.18968,0.0005314,0.0005314,0.0005314
73,1267.79,1.039,0.76859,1.07435,0.95741,0.99506,0.995,0.68105,1.16959,0.82273,1.19151,0.0005248,0.0005248,0.0005248
74,1284.09,1.08556,0.76416,1.10199,0.93644,0.99382,0.995,0.68951,1.15375,0.81307,1.19228,0.0005182,0.0005182,0.0005182
75,1301.48,1.03036,0.71779,1.07181,0.90961,0.97169,0.995,0.68316,1.14244,0.82872,1.19373,0.0005116,0.0005116,0.0005116
